Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
4/22/2023,Saturday,Houston,USA,Southwest,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Purple,Orange,41,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Lines,Magenta,Navy Sparkles,,
4/23/2023,Sunday,Houston,USA,Southwest,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Pink,Orange,97,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Purple,Swirls,Light Pink,Navy Sparkles,,
4/28/2023,Friday,Atlanta,USA,Southeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,70,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Magenta,Navy Sparkles,,
4/29/2023,Saturday,Atlanta,USA,Southeast,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Purple,Orange,34,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Pink,Lines,Light Pink,Navy Sparkles,,
4/30/2023,Sunday,Atlanta,USA,Southeast,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Pink,Orange,214,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Purple,Swirls,Multicolor,Navy Sparkles,,
5/5/2023,Friday,Nashville,USA,Southeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Cream,Orange,161,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Lines,Magenta,Navy Sparkles,,
5/6/2023,Saturday,Nashville,USA,Southeast,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Pink,Orange,140,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Multicolor,Navy Sparkles,,
5/7/2023,Sunday,Nashville,USA,Southeast,3,Pink & Blue,Silver,Rain,Purple,Rain,Short Fringe,Rain,Never Ever,Rain,Red/Black,Like Ever,Black,Rain,Pink,No,Rain,Red & Black,Snake,Purple,Orange,114,Green,Rain,Orange,Orange,Orange,Orange,Matching Set,Rain,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Pink,Lines,Magenta,Rain,,
5/12/2023,Friday,Philadelphia,USA,Northeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,75,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Swirls,Multicolor,Navy Sparkles,,
5/13/2023,Saturday,Philadelphia,USA,Northeast,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Orange,214,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Pink,Lines,Magenta,Navy Sparkles,,
5/14/2023,Sunday,Philadelphia,USA,Northeast,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Purple,Orange,97,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Multicolor,Navy Sparkles,,
5/19/2023,Friday,Foxborough,USA,Northeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Green,Orange,194,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Silver,Lines,Magenta,Navy Sparkles,,
5/20/2023,Saturday,Foxborough,USA,Northeast,2,Blue & Gold,Black,Rain,Blue,Rain,Long Gold,Rain,A Lot Going On,Rain,Red/Black,Like Ever,Black,Rain,Champagne,No,Rain,Red & Black,Snake,Cream,Orange,154,Green,Rain,Green,Green,Green,Green,Matching Set,Rain,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Pink,Swirls,Multicolor,Rain,,
5/21/2023,Sunday,Foxborough,USA,Northeast,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Pink,Orange,216,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Lines,Magenta,Navy Sparkles,,
5/26/2023,Friday,East Rutherford,USA,Northeast,1,Purple Tassels,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,White/Silver,No,Purple Metallic,Red & Black,Snake,Cream,Bronze,170,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Lines,None,Navy Sparkles,,
5/27/2023,Saturday,East Rutherford,USA,Northeast,2,Pink & Blue,Silver,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Green,Orange,233,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Iridescent,Swirls,None,Navy Sparkles,,
5/28/2023,Sunday,East Rutherford,USA,Northeast,3,Blue & Gold,Black,Blurple Sparkles,Purple,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Blue Metallic,Red & Black,Snake,Purple,Bronze,134,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Purple,Lines,None,Navy Sparkles,,
6/2/2023,Friday,Chicago,USA,Midwest,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Orange,161,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Lines,Multicolor,Navy Sparkles,,
6/3/2023,Saturday,Chicago,USA,Midwest,2,Purple Tassels,Silver,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,102,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Magenta,Navy Sparkles,,
6/4/2023,Sunday,Chicago,USA,Midwest,3,Blue & Gold,Black,Blurple Sparkles,Purple,Rain,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Pink,Orange,118,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Pink,Lines,Multicolor,Navy Sparkles,,
6/9/2023,Friday,Detroit,USA,Midwest,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Orange,77,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Lines,Multicolor,Navy Sparkles,,
