Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
8/9/2023,Wednesday,Los Angeles,USA,West,6,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,406,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Blue,Cutout,Blue,Navy Sparkles,,
8/24/2023,Thursday,Mexico City,Mexico,Latin America,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Nunca,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,159,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Iridescent,Swirls,Blue,Navy Sparkles,,
8/25/2023,Friday,Mexico City,Mexico,Latin America,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Nunca,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Green,Bronze,115,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Orchid,Cutout,Magenta,Navy Sparkles,,
8/26/2023,Saturday,Mexico City,Mexico,Latin America,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Nunca,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,122,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Purple,Lines,Multicolor,Navy Sparkles,,
8/27/2023,Sunday,Mexico City,Mexico,Latin America,4,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Nunca,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Pink,Orange,108,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Pink,Swirls,Blue,Navy Sparkles,,
11/9/2023,Thursday,Buenos Aires,Argentina,Latin America,1,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Ni En Pedo,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,146,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Iridescent,Lines,Blue,Navy Sparkles,,
11/11/2023,Saturday,Buenos Aires,Argentina,Latin America,2,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Ni En Pedo,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,53,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Orchid,Swirls,Magenta,Navy Sparkles,,
11/12/2023,Sunday,Buenos Aires,Argentina,Latin America,3,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Ni A Palos,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,147,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Cutout,Blue,Navy Sparkles,,
11/17/2023,Friday,Rio de Janeiro,Brazil,Latin America,1,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Nem Fodendo,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,31,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Blue,Cutout,Magenta,Navy Sparkles,,
11/19/2023,Sunday,Rio de Janeiro,Brazil,Latin America,2,Pink & Blue,Silver,Rain,Pink,Rain,Short Fringe,Rain,A Lot Going On,Rain,Red/Black,Like Nem Fodendo,Black,Rain,Champagne,Yes,Rain,Red & Black,Rain,Pink,Bronze,118,Green,Rain,Blue,Blue,Blue,Blue,Matching Set,Rain,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Pink,Swirls,Magenta,Rain,,
11/20/2023,Monday,Rio de Janeiro,Brazil,Latin America,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Nem Fodendo,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,17,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Orchid,Cutout,Blue,Navy Sparkles,,
11/24/2023,Friday,Sao Paulo,Brazil,Latin America,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Nem Fodendo,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Purple,Orange,82,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Orchid,Cutout,Multicolor,Navy Sparkles,,
11/25/2023,Saturday,Sao Paulo,Brazil,Latin America,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Nem Fodendo,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,103,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
11/26/2023,Sunday,Sao Paulo,Brazil,Latin America,3,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Nem Fodendo,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Bronze,78,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Cutout,Blue,Navy Sparkles,,
2/7/2024,Wednesday,Tokyo,Japan,Asia,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Arieni,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,43,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Orchid,Swirls,Blue,Navy Sparkles,,
2/8/2024,Thursday,Tokyo,Japan,Asia,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Zetta Nai,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Green,Bronze,57,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
2/9/2024,Friday,Tokyo,Japan,Asia,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Maji Muri,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Pink,Orange,43,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Lines,Multicolor,Navy Sparkles,,
2/10/2024,Saturday,Tokyo,Japan,Asia,4,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Zettai Ni Nai,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,59,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Cutout,Blue,Navy Sparkles,,
2/16/2024,Friday,Melbourne,Australia,Australia,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Yeah Nah,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,153,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Orchid,Cutout,Blue,Navy Sparkles,,
2/17/2024,Saturday,Melbourne,Australia,Australia,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,Never Ever,Red & Black,Red/Black,Like Naur,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Cream,Bronze,135,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Cutout,Multicolor,Navy Sparkles,,
2/18/2024,Sunday,Melbourne,Australia,Australia,3,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Nah Mate,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Purple,Orange,152,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Silver,Cutout,Magenta,Navy Sparkles,,
2/23/2024,Friday,Sydney,Australia,Australia,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Yeah Nahhh,Black,Black Sparkles,Blue,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,134,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Orchid,Cutout,Blue,Navy Sparkles,,
2/24/2024,Saturday,Sydney,Australia,Australia,2,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Tell Him He's Dreaming,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Pink,Bronze,154,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Iridescent,Cutout,Magenta,Navy Sparkles,,
2/25/2024,Sunday,Sydney,Australia,Australia,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Bugger Off,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Purple,Orange,164,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Silver,Cutout,Multicolor,Navy Sparkles,,
2/26/2024,Monday,Sydney,Australia,Australia,4,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Rack Off Mate,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Blue,Bronze,96,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Cutout,Blue,Navy Sparkles,,
3/2/2024,Saturday,Singapore,Singapore,Asia,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,No Lah,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,50,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Orchid,Cutout,Magenta,Navy Sparkles,,
3/3/2024,Sunday,Singapore,Singapore,Asia,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Siao Ah,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Pink,Bronze,132,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Cutout,Multicolor,Navy Sparkles,,
3/4/2024,Monday,Singapore,Singapore,Asia,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Walao Eh,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Blue,Orange,60,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Cutout,Blue,Navy Sparkles,,
3/7/2024,Thursday,Singapore,Singapore,Asia,4,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Alamak,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,134,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Blue,Cutout,Multicolor,Navy Sparkles,,
3/8/2024,Friday,Singapore,Singapore,Asia,5,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Wah Piang Eh,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Pink,Orange,136,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Cutout,Magenta,Navy Sparkles,,
3/9/2024,Saturday,Singapore,Singapore,Asia,6,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Hannor Abuden,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,119,Green,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Blue,Purple,Orchid,Cutout,Blue,Navy Sparkles,,
5/9/24,Thursday,Paris,France,Europe,1,Pink & Orange,Orange,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Genre Jamais,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Yellow,Yellow,105,Eggplant,Wood Grain,Pink,Blue,Pink,Blue,"Top-Left, Skirt-Right",Blue Ombre,I Love You,None,Black & Gold,White,Black,Gold-Black Trim,Gold,Pink,Purple,Orchid,Chevron,Blue,Navy Sparkles,,
5/10/24,Friday,Paris,France,Europe,2,Pink & Blue,Silver,Pastel,Pink,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Je Crois Pas Nan,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Berry,Berry,81,Eggplant,Wood Grain,Orange,Purple,Purple,Orange,"Skirt-Left, Top-Right",Purple Metallic,I Love You,None,Pearl,White,White-Silver,White-Silver Trim,Gold,New Blue,Purple,Silver,Cutout,Magenta,Navy Sparkles,,
5/11/24,Saturday,Paris,France,Europe,3,Blue & Gold,Black,Pastel,Blue,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Dans Tes Rêves,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Pink,Pink,113,Eggplant,Wood Grain,Green,Pink,Pink,Green,"Skirt-Left, Top-Right",Purple Metallic,I Love You,None,Black & Silver,White,Graphite,Graphite-Black Trim,Gold,Orange,Purple,Blue,Swirls,Multicolor,Navy Sparkles,,
5/12/24,Sunday,Paris,France,Europe,4,Pink & Orange,Orange,Pastel,Pink,Pastel,Silver/Black/Gold,Gold & Black,Trouble,Red & Black,Red/Black 2.0,C'Est Mort,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Berry,Berry,135,Eggplant,Wood Grain,Yellow,Orange,Yellow,Orange,"Top-Left, Skirt-Right",Purple Metallic,I Love You,None,Pearl,White,White-Silver,Silver-Black Trim,Gold,New Blue,Purple,Iridescent,Chevron,Blue,Navy Sparkles,,
5/17/24,Friday,Stockholm,Sweden,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Alltså Aldrig,Black,Black Sparkles,Blue,No,Purple Metallic,Red & Black,Snake,Yellow,Yellow,124,Eggplant,Wood Grain,Yellow,Blue,Yellow,Blue,"Top-Left, Skirt-Right",Blue Ombre,I Love You,None,Black & Silver,White,Black,Gold-Black Trim,Gold,Pink,Purple,Silver,Chevron,Multicolor,Navy Sparkles,,
5/18/24,Saturday,Stockholm,Sweden,Europe,2,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Dröm Vidare,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Blue,Blue,112,Eggplant,Wood Grain,Pink,Orange,Pink,Orange,"Top-Left, Skirt-Right",Purple Metallic,I Love You,None,Pearl,White,White-Silver,White-Silver Trim,Gold,Orange,Purple,Purple,Swirls,Magenta,Navy Sparkles,,
5/19/24,Sunday,Stockholm,Sweden,Europe,3,Pink & Orange,Orange,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Han Kan Dra,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Green,119,Eggplant,Wood Grain,Blue,Yellow,Yellow,Blue,"Skirt-Left, Top-Right",Blue Ombre,I Love You,None,Black & Gold,White,Gold & Black,Gold-Black Trim,Gold,New Blue,Purple,Pink,Chevron,Blue,Navy Sparkles,,
5/24/24,Friday,Lisbon,Portugal,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Nunca Mais,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Cream,Cream,147,Eggplant,Wood Grain,Purple,Blue,Purple,Blue,"Top-Left, Skirt-Right",Blue Ombre,I Love You,None,Black & Silver,White,Graphite,Graphite-Black Trim,Gold,Orange,Purple,Orchid,Chevron,Blue,Navy Sparkles,,
5/25/24,Saturday,Lisbon,Portugal,Europe,2,Pink & Orange,Orange,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Nem Que A Vaca Tussa,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Berry,Berry,170,Eggplant,Wood Grain,Pink,Yellow,Pink,Yellow,"Top-Left, Skirt-Right",Blue Ombre,I Love You,None,Pearl,White,White-Silver,White-Silver Trim,Gold,Pink,Purple,Blue,Swirls,Magenta,Navy Sparkles,,
5/29/24,Wednesday,Madrid,Spain,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Ni De Coña,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Blue,Blue,155,Eggplant,Wood Grain,Orange,Yellow,Yellow,Orange,"Skirt-Left, Top-Right",Blue Ombre,I Love You,None,Black & Gold,White,Gold & Black,Gold-Black Trim,Gold,Orange,Purple,Iridescent,Chevron,Blue,Navy Sparkles,,
5/30/24,Thursday,Madrid,Spain,Europe,2,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Ni Borracha,Black,Black Sparkles,Blue,No,Purple Metallic,Red & Black,Snake,Berry,Berry,138,Eggplant,Wood Grain,Pink,Purple,Purple,Pink,"Skirt-Left, Top-Right",Blue Ombre,I Love You,None,Black & Silver,White,White-Silver,Silver-Black Trim,Gold,New Blue,Purple,Blue,Swirls,Multicolor,Navy Sparkles,,
6/2/24,Sunday,Lyon,France,Europe,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Jamais De La Vie,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Green,125,Eggplant,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,I Love You,None,Black & Silver,White,Graphite,Graphite-Black Trim,Gold,Pink,Purple,Pink,Chevron,Magenta,Navy Sparkles,,
6/3/24,Monday,Lyon,France,Europe,2,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,Laisse Tomber,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Yellow,Yellow,152,Eggplant,Wood Grain,Green,Blue,Blue,Green,"Skirt-Left, Top-Right",Blue Ombre,I Love You,None,Black & Silver,White,Black,Silver-Black Trim,Gold,Orange,Purple,Orchid,Cutout,Blue,Navy Sparkles,,
6/7/24,Friday,Edinburgh,Scotland,Europe,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Nae Chance,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Green,Green,134,Eggplant,Wood Grain,Yellow,Pink,Pink,Yellow,"Skirt-Left, Top-Right",Blue Ombre,I Love You,None,Pearl,White,White-Silver,White-Silver Trim,Gold,New Blue,Purple,Pink,Swirls,Multicolor,Navy Sparkles,,
6/8/24,Saturday,Edinburgh,Scotland,Europe,2,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Ya Wee Radge,Black,Black Sparkles,Blue,No,Purple Metallic,Red & Black,Snake,Berry,Berry,92,Eggplant,Wood Grain,Blue,Purple,Purple,Blue,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Black,Black & Gold,White,Gold & Black,Gold-Black Trim,Gold,Orange,Purple,Purple,Chevron,Blue,Navy Sparkles,,
6/9/24,Sunday,Edinburgh,Scotland,Europe,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Bolt Ya Rocket,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Cream,Cream,87,Eggplant,Wood Grain,Purple,Green,Green,Purple,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Black,Black & Silver,White,Graphite,Graphite-Black Trim,Gold,Pink,Purple,Silver,Cutout,Magenta,Navy Sparkles,,
6/13/24,Thursday,Liverpool,England,Europe,1,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,For The 100th Time No,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Green,127,Eggplant,Wood Grain,Blue,Pink,Blue,Pink,"Top-Left, Skirt-Right",Blue Ombre,I Love You,White,Pearl,White,White-Silver,White-Silver Trim,Gold,Pink,Purple,Purple,Chevron,Multicolor,Navy Sparkles,,
6/14/24,Friday,Liverpool,England,Europe,2,Pink & Orange,Orange,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Eee Get On Yer Bike,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Blue,Blue,112,Eggplant,Wood Grain,Purple,Orange,Orange,Purple,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Sparkly Black,Black & Gold,White,Black,Gold-Black Trim,Gold,New Blue,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
6/15/24,Saturday,Liverpool,England,Europe,3,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Jog On Lad,Black,Black Sparkles,Swirls,No,Purple Metallic,Red & Black,Snake,Berry,Berry,109,Eggplant,Wood Grain,Yellow,Green,Yellow,Green,"Top-Left, Skirt-Right",Blue Ombre,I Love You,Sparkly Black,Black & Silver,White,Graphite,Graphite-Black Trim,Gold,Orange,Purple,Pink,Chevron,Blue,Navy Sparkles,,
6/18/24,Tuesday,Cardiff,Wales,Europe,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Ych A Fi,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Berry,Berry,149,Eggplant,Wood Grain,Green,Orange,Orange,Green,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Sparkly Black,Black & Silver,White,White-Silver,Silver-Black Trim,Gold,Orange,Purple,Orchid,Chevron,Magenta,Navy Sparkles,,
6/21/24,Friday,London,England,Europe,1,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,Why Don't You Just Bog Off,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,190,Eggplant,Wood Grain,Orange,Blue,Orange,Blue,"Top-Left, Skirt-Right",Blue Ombre,I Love You,Sparkly Black,Black & Gold,TTPD,Gold & Black,Gold-Black Trim,Gold,Orange,Purple,Orchid,Chevron,Blue,Navy Sparkles,,
6/22/24,Saturday,London,England,Europe,2,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Do One Tosser,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Cream,Cream,134,Eggplant,Wood Grain,Purple,Pink,Pink,Purple,"Skirt-Left, Top-Right",Purple Metallic,I Love You,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,New Blue,Purple,Silver,Chevron,Magenta,Navy Sparkles,,
